chrom	w_start	w_end	symbol
chr6	109512499	110646629	FIG4
chr3	160301671	161323137	B3GALNT1
chr1	53817406	54855470	YIPF1
chr14	90234204	91298285	NRDE2
chr3	136081050	137170448	NCK1
chr2	206047225	207162855	NRP2
chr19	41369852	42389988	TMEM91
chr9	96817327	97831038	PCAT7
chr4	57396939	58476551	IGFBP7
chr14	73922032	74985991	ENTPD5
chr22	29202640	30208776	GAS2L1
chr1	746980	1760040	INTS11
chr10	119935923	121014482	CACUL1
chr1	160516736	161539681	ARHGAP30
chr3	42089461	43142570	SEC22C
chr16	66100342	67113038	CMTM1
chr10	5552652	6604330	IL2RA
chr10	11707329	12737890	NUDT5
chr1	157146271	158170559	FCRL3
chr11	65884101	66897405	RBM14
chr12	111343727	112389427	SH2B3
chr14	95499249	96501209	SNHG10
chr19	7497	1019654	TPGS1
chr1	159561129	160568618	IGSF8
chr9	18615759	19627490	PLIN2
chr3	107599215	108729443	MYH15
chr12	64345900	65395894	TBK1
chr3	42620726	43647571	POMGNT2
chr6	42212236	43213841	TBCC
chr3	51509080	52515212	ABHD14A
chr9	99862362	100895650	TSTD2
chr5	1301521	2316162	NDUFS6
chr11	332952	1338831	CD151
chr19	23040498	24078273	ZNF91
chr8	17413501	18442470	ASAH1
chr19	8085662	9142326	MYO1F
chr5	176446789	177481564	FAM193B
chr5	77281053	78444595	LHFPL2
chr22	38581548	39597408	JOSD1
chr6	99317277	100342071	COQ3
chr5	138726366	139922884	NRG2
chr16	85432768	86456215	IRF8
chr11	74979823	76012579	DGAT2
chr19	10957195	11965620	CCDC159
chr4	139711071	140723705	NDUFC1
chr7	135111508	136162107	MTPN
chr19	57374919	58376773	TRAPPC2B
chr1	78586133	79611830	IFI44L
chr17	39939565	40963961	STAT5A
chr5	80767842	82051952	ATG10
chr12	56310147	57343210	TIMELESS
chr17	39841105	40846512	GHDC
chr16	20745020	21765171	ANKS4B
chr6	32922353	33925321	ZBTB9
chr2	27504246	28613254	RBKS
chr12	133157509	134184014	ZNF140
chr5	99371078	100422445	FAM174A
chr14	103682147	104700001	ZFYVE21
chr12	121733173	122740852	LINC01089
chr10	103721152	104736802	MFSD13A
chr20	0	878203	TRIB3
chr6	111481535	112694655	FYN
chr3	178565497	179612724	MFN1
chr17	42768298	43799132	FMNL1-DT
chr10	44996371	46000774	ZNF22
chr15	90945612	91965815	MAN2A2
chr19	0	702209	LINC01002
chr1	110450431	111458896	LAMTOR5-AS1
chr1	61646718	62690813	TM2D1
chr9	111196680	112203234	ABITRAM
chr15	88846667	89918584	ACAN
chr22	24479718	25524963	GGT1
chr5	89254026	90270588	MBLAC2
chr2	241932085	242948987	STK25
chr12	6453962	7460450	CDCA3
chr10	98705932	99717127	ZDHHC16
chr7	22721667	23740625	NUP42
chr19	58478447	59486803	ZNF324
chr5	178733393	179765078	SQSTM1
chr21	47518517	48524995	S100B
chr14	69451445	70498268	PLEKHD1
chr1	64798912	66033429	JAK1
chr8	41696012	42729326	POLB
chr17	56134039	57269406	TEX14
chr10	24805541	25815593	THNSL1
chr6	122264496	123292952	SERINC1
chr4	119633868	120716673	USP53
chr12	10024952	11042640	KLRK1
chr7	23219818	24242269	FAM221A
chr12	361745	1520618	WNK1
chr15	43150373	44163241	ZSCAN29
chr13	111030887	112067416	ANKRD10
chr1	147074428	148124560	NBPF11
chr12	56415604	57489977	RBMS2
chr3	9444296	10458086	IL17RE
chr12	27177139	28348497	PPFIBP1
chr5	176353677	177369892	GRK6
chr19	4175239	5223854	DPP9
chr2	96982005	98001119	CNNM3
chr20	17988192	19042059	SEC23B
chr11	101767063	102823496	TMEM123
chr14	60212468	61265805	PPM1A
chr6	111891866	112908685	TUBE1
chr7	127437738	128483962	RBM28
chr3	149921351	150937933	ERICH6-AS1
chr14	24141289	25149460	REC8
chr1	156169398	157175576	CRABP2
chr19	509652	1521122	TMEM259
chr1	93527298	94812775	BCAR3
chr14	94094118	95095941	IFI27L2
chr7	99275347	100312010	STAG3
chr11	60118406	61123423	PTGDR2
chr2	27373676	28386481	SUPT7L
chr7	150250902	151254984	CDK5
chr9	37300551	38367661	DCAF10
chr5	133484475	134563599	SEC24A
chr3	41628692	42767382	TRAK1
chr22	21551825	22590083	YPEL1
chr11	0	809395	IFITM2
chr14	77424210	78435815	AHSA1
chr9	102241467	103361282	ERP44
chr12	102013961	103091298	PARPBP
chr9	100245623	101278225	ANP32B
chr5	75867897	76883110	ZBED3
chr11	118414899	119427916	HYOU1
chr19	21188404	22223470	ZNF429
chr14	23438912	24448035	NGDN
chr9	4209556	5242043	AK3
chr19	48971387	49996566	GYS1
chr9	115537938	116555185	PRPF4
chr16	69823670	70869208	DDX19B
chr10	104178051	105349979	CNNM2
chr15	34770542	35780488	ZNF770
chr5	40211678	41256063	TTC33
chr3	32631914	33638638	TMPPE
chr9	139256571	140260760	EDF1
chr20	36162148	37220766	RPRD1B
chr12	132171280	133174240	LINC02361
chr3	196094791	197161585	SENP5
chr3	119543356	120568201	LRRC58
chr3	137827613	138852218	FAIM
chr5	136975459	138014319	BRD8
chr19	36501589	37519173	ZNF260
chr9	136395427	137433148	BRD3
chr2	178887554	179984944	TTN-AS1
chr1	45516498	46535721	AKR1A1
chr17	26732268	27778536	PHF12
chr6	143375252	144390476	PHACTR2-AS1
chr9	131209978	132269375	NUP188
chr5	111543195	112681936	APC
chr19	6387590	7440461	ADGRE1
chr17	47958599	48974884	LRRC59
chr15	89287210	90360490	FANCI
chr6	90136247	91506562	BACH2
chr18	67170267	68372923	RTTN
chr7	5548903	6563465	AIMP2
chr1	97043299	98886615	DPYD
chr3	31648112	32710201	GPD1L
chr12	119605938	120619424	PRKAB1
chr19	12501943	13510813	GCDH
chr1	223467595	224533649	TP53BP2
chr10	113684170	114707330	ZDHHC6
chr1	111584631	112759313	RAP1A
chr17	21522741	22523989	MTRNR2L1
chr20	22526270	23530309	THBD
chr15	58924633	60165070	MYO1E
chr7	63950734	64967065	ERV3-1
chr3	68603881	69629524	UBA3
chr22	17770415	19007327	MICAL3
chr13	113331850	114362983	PCID2
chr2	118173057	119271646	CCDC93
chr2	27611576	29061768	BABAM2
chr3	150088163	151123226	MINDY4B
chr20	43038701	44067957	PABPC1L
chr6	25958183	26976850	BTN2A1
chr7	129646079	130853588	COPG2
chr5	156658428	157668457	THG1L
chr7	99564142	100576837	TSC22D4
chr14	58232083	59264855	PSMA3-AS1
chr15	64180035	65247502	TRIP4
chr12	62495531	63497214	LINC01465
chr6	115752312	116882054	FRK
chr6	120900640	122155875	TBC1D32
chr10	37799578	38856762	ZNF33A
chr12	9504968	10521953	CLEC2B
chr8	144279285	145280583	LINC02878
chr12	57423834	58440975	DCTN2
chr1	226627995	227675245	COQ8A
chr13	114547076	115571292	UPF3A
chr7	22393859	23401055	SNHG26
chr12	113296392	114329434	PLBD2
chr10	102256345	103267590	LZTS2
chr17	70661149	71672772	SSTR2
chr19	11409338	12419318	ZNF491
chr1	27786484	28794604	XKR8
chr2	157883279	158985376	ACVR1C
chr4	159087827	160093208	C4orf46
chr11	3615915	4660162	RRM1
chr19	55617013	56628635	ZNF865
chr1	85215636	86225345	C1orf52
chr14	69733859	70738722	SRSF5
chr16	75181671	76191330	TERF2IP
chr18	33267460	34352120	MOCOS
chr17	4134723	5136902	MED11
chr22	45029639	46059662	NUP50-DT
chr10	26486630	27535727	PDSS1
chr1	35835362	36896133	AGO1
chr6	25656557	26657343	H1-4
chr14	103878625	104887866	ATP5MJ
chr1	150282189	151349075	ARNT
chr6	7090431	8112200	SNRNP48
chr18	33909090	35312135	KIAA1328
chr7	142052838	143068847	EPHB6
chr12	0	787621	IQSEC3
chr22	42056019	43179933	TCF20
chr2	25100112	26396446	DTNB
chr5	35652213	36684421	SKP2
chr1	44968220	45976996	HECTD3
chr9	139371956	140376194	PTGDS
chr17	55878592	56906156	TSPOAP1
chr9	139386874	140388428	PAXX
chr20	2951665	4131765	ATRN
chr5	32940802	33968196	TARS1
chr6	34936178	35938557	RPL10A
chr4	176054088	177423842	GPM6A
chr19	52157360	53174874	ZNF836
chr17	74584725	75591068	SNHG20
chr2	101123690	102267844	TBC1D8
chr2	238652685	239697251	PER2
chr1	230541989	231614607	TTC13
chr1	32586421	33616533	ZBTB8OS
chr11	125326716	126433187	CDON
chr11	66759239	67772834	PITPNM1
chr10	103763729	104893292	SUFU
chr5	54051883	55103522	DHX29
chr1	157759713	158764564	CD1C
chr18	9414013	10460018	VAPA
chr3	128346258	129379906	ISY1
chr17	40822426	41863707	NBR1
chr12	130774145	131823795	STX2
chr16	1078679	2105569	TMEM204
chr17	6718947	7732654	NEURL4
chr16	29327473	30333810	PAGR1
chr6	10683531	11882581	NEDD9
chr1	183520864	184566619	TSEN15
chr3	111682813	112718319	BTLA
chr17	1049444	2053160	RILP
chr6	33238990	34256907	LEMD2
chr12	7776213	8791203	CLEC4A
chr11	14165350	15393590	PDE3B
chr6	113678524	114684652	MARCKS
chr5	110996223	111998198	EPB41L4A-AS1
chr19	52706066	53738297	ZNF611
chr18	44835328	45957243	SMAD2
chr5	137023339	138049012	CDC23
chr3	40047530	41060227	ZNF620
chr16	68958522	70000167	CYB5B
chr17	63798731	65306861	PRKCA
chr15	57092563	58099967	LINC00926
chr1	89490388	90563420	LRRC8B
chr5	114414193	115438176	TICAM2
chr22	36383237	37403087	FOXRED2
chr7	25691818	26726757	NFE2L3
chr11	65319835	66336779	SF3B2
chr5	139511317	140513286	CD14
chr11	1823243	2839434	TSPAN32
chr14	24063520	25073334	PCK2
chr8	109753148	110846316	NUDCD1
chr22	37582350	38589481	NOL12
chr5	42876747	43912493	CCL28
chr16	83587368	84650547	MBTPS1
chr22	36947782	37959430	KCTD17
chr6	79443391	80446517	HMGN3-AS1
chr19	54426638	55448084	TTYH1
chr4	170041729	171144824	CLCN3
chr10	118743804	119804579	EMX2OS
chr2	197127759	198164407	GTF3C3
chr18	41760038	43148475	SETBP1
chr3	178366145	179457881	PIK3CA
chr9	139842022	140853786	NSMF
chr4	100237984	101291347	DAPP1
chr11	60670201	61697447	CPSF7
chr4	123313732	124344123	NUDT6
chr3	183467460	184476547	EEF1AKMT4
chr19	58316743	59328178	ERVK3-1
chr16	77256411	78276157	NUDT7
chr2	44044746	45089001	PREPL
chr3	98857438	100018061	COL8A1
chr19	43537340	44540239	ZNF575
chr21	37192495	38248930	MORC3
chr4	140678462	141806882	SCOC
chr16	10538421	11776043	CLEC16A
chr3	49867219	50878267	RASSF1
chr2	127305599	128364730	BIN1
chr10	64426985	65781650	JMJD1C
chr4	53743808	54827029	FIP1L1
chr14	23922979	24938488	DHRS4
chr3	9299031	10311631	CAMK1
chr9	36620469	37858146	ZCCHC7
chr2	26853624	27857504	PREB
chr3	126790075	127817074	TPRA1
chr3	189731874	190877539	IL1RAP
chr15	30344253	31357887	GOLGA8Q
chr1	108789296	109852145	STXBP3
chr6	52862139	53909899	GCLC
chr2	72669165	73798841	SFXN5
chr17	33177324	34200640	SLFN11
chr1	6140054	7149340	ZBTB48
chr11	73185717	74194247	UCP2
chr12	125049981	126127862	AACS
chr3	196169545	197170414	NCBP2AS2
chr10	73951901	75147452	MCU
chr8	85876236	86893722	CA2
chr17	44695069	45766661	CDC27
chr1	172886928	173930501	PRDX6-AS1
chr1	107613783	109007802	VAV3
chr17	18781063	19786857	MAPK7
chr1	28974255	30008412	SRSF4
chr14	24259804	25268986	DHRS1
chr10	101533035	102546437	BLOC1S2
chr3	121635053	122662094	WDR5B-DT
chr2	19948452	21052014	PUM2
chr4	3769428	4791881	LYAR
chr7	139895136	140896877	NDUFB2-AS1
chr21	46432461	47482939	SLC19A1
chr1	222291439	223341349	MIA3
chr19	48618588	49622435	RPL18
chr12	120065006	121132518	GCN1
chr6	24150207	25167127	TDP2
chr21	10406741	11490874	TPTE
chr1	156061568	157064091	NAXE
chr12	7709440	8718955	C3AR1
chr9	88379461	89397453	ISCA1
chr20	34740721	35774599	SLA2
chr8	90445559	91496895	NBN
chr11	62038868	63054814	TAF6L
chr4	83828499	84877036	HELQ
chr6	42693367	43697219	DNPH1
chr6	31137753	32141323	LY6G5B
chr17	26571029	27577974	TRAF4
chr7	121213603	122284303	AASS
chr14	74460468	75463809	ISCA2
chr12	56989191	58005145	STAT6
chr17	45227285	46262871	KPNB1
chr12	48912761	49954577	KMT2D
chr19	37136442	38163597	ZNF585A
chr22	50461997	51464871	SCO2
chr7	43740577	44753893	YKT6
chr6	32471959	33477368	HLA-DOA
chr21	15689159	16790989	LINC02246
chr2	73862527	74875039	BOLA3
chr8	141638688	142705903	DENND3
chr12	69632640	70716984	RAB3IP
chr4	77578360	78591213	CCNG2
chr11	64690269	65713011	NEAT1
chr11	65127904	66135124	MUS81
chr12	57713710	58740512	CTDSP2
chr8	94240383	95253237	RBM12B
chr11	101717945	102749401	BIRC2
chr17	29143428	30148640	EVI2A
chr19	1315247	2348482	REXO1
chr13	27498756	28509960	GTF3A
chr12	105224469	106265296	C12orf75
chr20	51088897	52611869	TSHZ2
chr18	46514851	47518835	RPL17
chr11	112332142	113649158	NCAM1
chr16	71098919	72106341	TAT-AS1
chr1	153009623	154014285	S100A5
chr17	72017313	73027614	CD300LB
chr19	3458451	4471097	DAPK3
chr17	37060538	38107516	MED1
chr19	18247838	19282531	KLHL26
chr1	27061123	28135127	WDTC1
chr18	221588	1312243	YES1
chr19	17890504	18892432	JUND
chr3	27783110	28866633	CMC1
chr11	64162018	65184681	ATG2A
chr1	155382836	156404204	KHDC4
chr3	39932442	40994799	ENTPD3-AS1
chr11	35793842	36810974	COMMD9
chr1	192528742	193560907	RO60
chr9	5511025	6515624	RANBP6
chr10	52955246	53959355	CSTF2T
chr17	40204454	41206820	HSD17B1-AS1
chr20	7457993	8500408	TMX4
chr1	116415866	117447396	ATP1A1
chr19	2232522	3240074	SLC39A3
chr19	48875678	49879315	PPP1R15A
chr13	110864970	111875686	ING1
chr7	73088686	74111426	EIF4H
chr19	58240280	59288821	ZNF544
chr5	71235730	72303237	ZNF366
chr10	72142037	73148322	PCBD1
chr15	25078875	26184203	UBE3A
chr1	117972362	119009166	WDR3
chr16	10471055	11530251	CIITA
chr16	83432720	84460636	MLYCD
chr20	17967184	18977869	RBBP9
chr7	2052163	3068811	LFNG
chr12	56010417	57011751	RPL41
chr19	44098514	45113979	ZNF224
chr2	45115819	46338406	SRBD1
chr11	8133587	9204778	TRIM66
chr11	124962747	125992986	STT3A
chr8	97785716	98790156	TSPYL5
chr6	41692669	42919962	TRERF1
chr12	51222226	52240463	CELA1
chr21	47206256	48217665	YBEY
chr20	20783969	21870463	XRN2
chr21	45840950	46849595	ITGB2-AS1
chr2	151604454	152618377	RBM43
chr11	117943124	118973748	ARCN1
chr2	47534059	48633637	FBXO11
chr1	154607851	155611329	SLC50A1
chr16	68721067	69842955	SNTB2
chr17	7288114	8316073	CHD3
chr19	16903382	17917652	MRPL34
chr6	152808497	153823844	MTRF1L
chr11	63607676	64625006	CCDC88B
chr11	107487432	108518330	ACAT1
chr12	110471050	111521123	PPTC7
chr8	118306729	119624065	EXT1
chr6	95507972	96525327	MANEA-DT
chr5	148932858	149992928	CSF1R
chr19	49515918	50529685	FCGRT
chr8	22786675	23815160	ENTPD4
chr14	73103215	74190399	PSEN1
chr19	11094244	12116654	ZNF653
chr3	49211784	50221404	APEH
chr5	33517963	34744829	C1QTNF3
chr19	51374874	52375908	NKG7
chr10	16756238	17771984	VIM-AS1
chr3	118513230	119639561	ARHGAP31
chr13	32389645	33474405	BRCA2
chr17	3837235	4891499	SPNS3
chr2	135789054	136982839	R3HDM1
chr2	219736765	220764729	DNPEP
chr22	17118410	18146177	HDHD5
chr22	41197529	42256151	ZC3H7B
chr19	49910082	50932761	NUP62
chr7	99771363	100776792	GNB2
chr1	151084526	152171556	SNX27
chr14	24149425	25158022	IPO4
chr3	141668077	142797575	ATR
chr19	15772179	16784336	CIB3
chr10	14380305	15413740	HSPA14
chr2	85081892	86118871	ELMOD3
chr19	482928	1494556	WDR18
chr12	55998343	57007694	PA2G4
chr10	90561803	91569028	IFIT2
chr13	37083449	38133825	SUPT20H
chr2	84632780	85633795	TMSB10
chr2	200670602	201846987	SPATS2L
chr17	64566560	65741312	HELZ
chr5	68013587	69025985	MRPS36
chr6	42990072	44043775	XPO5
chr18	11828943	12877226	AFG3L2
chr1	153454126	154458815	RAB13
chr17	16342395	17375432	TNFRSF13B
chr20	62105469	63110995	SAMD10
chr19	6031037	7035935	TNFSF9
chr14	73611689	74670435	DNAL1
chr19	1729980	2736328	PLEKHJ1
chr4	186612721	187634617	CYP4V2
chr7	1070338	2082679	MAFK
chr15	63864764	64886037	CIAO2A
chr19	12278887	13280229	WDR83OS
chr5	76486991	77572163	TBCA
chr5	150132746	151150001	GM2A
chr11	206231	1227727	EPS8L2
chr15	83154962	84159809	RAMAC
chr19	359664	1363641	CFD
chr20	3234155	4249035	C20orf27
chr17	48539535	49698229	SPAG9
chr16	55895364	56959457	AMFR
chr20	31899154	32942172	CHMP4B
chr12	98507182	99538566	IKBIP
chr19	37621907	38647162	ZFP30
chr19	40236224	41291252	AKT2
chr2	63619284	64746562	VPS54
chr22	37593055	38672563	TRIOBP
chr1	65386351	66401690	LEPROT
chr7	46814752	48121709	TNS3
chr8	17527976	18581198	NAT1
chr7	55631979	56648363	SUMF2
chr10	125585872	126607492	OAT
chr6	133990394	135139250	SGK1
chr2	67905989	68979664	PPP3R1
chr3	113533347	115366135	ZBTB20
chr17	9313923	10601923	GAS7
chr5	67985410	69006184	CENPH
chr11	9300215	10815766	SBF2
chr3	125225200	126320363	SLC41A3
chr19	46722768	47749707	STRN4
chr2	232326423	233709060	DIS3L2
chr20	25153831	26177489	ZNF337
chr6	42527369	43542831	KLC4
chr9	137295078	138309758	FCN1
chr11	64394751	65401990	SYVN1
chr19	57499118	58507466	ZNF419
chr2	86447414	87505164	RMND5A
chr20	55426311	56454258	RAE1
chr12	69242161	70248014	LYZ
chr3	119903785	120961527	RABL3
chr11	125639049	126648021	FOXRED1
chr6	106308592	107519892	CRYBG1
chr11	92377340	93431157	SLC36A4
chr1	232441162	233445675	MAP10
chr8	128917515	130076925	LINC00824
chr19	12556676	13564456	RAD23A
chr19	6239691	7251541	TRIP10
chr22	19619327	20635530	ZDHHC8
chr11	117675445	118686888	CD3E
chr7	32668897	34175379	BBS9
chr3	170276203	171678197	TNIK
chr3	37664206	38678618	ACAA1
chr2	25456622	26601356	ASXL2
chr7	99256867	100266240	GAL3ST4
chr9	132075221	133086415	TOR1A
chr1	207425383	208468861	CD46
chr2	67124465	68139221	ETAA1
chr6	33704650	34714008	HMGA1
chr9	116596436	117656685	AKNA
chr4	129230855	130296379	JADE1
chr19	40723017	41746765	ITPKC
chr22	18818221	19919256	HIRA
chr16	58049383	59057746	SETD6
chr17	39491937	40504636	KLHL10
chr21	40252252	41300454	GET1
chr1	11296193	12310826	AGTRAP
chr5	42539473	43543349	ANXA2R
chr16	30210492	31252730	SRCAP
chr1	261586	1262902	LINC00115
chr15	48914924	49947796	COPS2
chr2	127514866	128551720	ERCC3
chr19	4315944	5331724	TICAM1
chr6	42649934	43692325	CUL9
chr17	64740892	65758196	HELZ-AS1
chr1	1898890	2936971	PLCH2
chr1	30691619	31699593	MATN1-AS1
chr12	113236576	114272914	SLC8B1
chr12	110440136	111471361	RAD9B
chr14	94014633	95047548	DDX24
chr11	65702546	66706319	MRPL11
chr19	8934448	9956547	ZNF559
chr6	32308494	33312456	PSMB8
chr12	109491520	110511309	MMAB
chr11	111445023	112455874	NKAPD1
chr15	50067586	51147395	GABPB1
chr19	49499691	50502965	RPS11
chr12	57617544	58635944	AGAP2
chr12	7832805	8853596	FAM66C
chr12	5919498	6937672	PLEKHG6
chr18	2747480	3756235	MYL12A
chr16	87727887	88728823	LINC02182
chr11	112555	1115950	IRF7
chr5	139444413	140448685	SLC35A4
chr19	1821520	2828585	LSM7
chr16	71178827	72258604	PHLPP2
chr1	45592976	46652205	GPBP1L1
chr1	168933147	169955208	SLC19A2
chr12	6461314	7475796	USP5
chr5	41425383	42441845	FBXO4
chr20	62204534	63211317	RGS19
chr9	34573836	35579939	FANCG
chr6	166912885	167966206	CEP43
chr1	22845961	23910182	KDM1A
chr11	63537300	64552176	BAD
chr16	67427157	68463579	PSKH1
chr2	28218927	29367008	PLB1
chr14	60947963	62050451	SLC38A6
chr16	29302072	30316706	KIF22
chr10	115380621	116433979	CCDC186
chr11	13799466	14886052	RRAS2
chr10	103683006	104692331	CUEDC2
chr1	145049209	146068522	ANKRD35
chr2	231563345	232741559	ARMC9
chr16	58241035	59268220	GOT2
chr2	218783846	219818018	VIL1
chr11	65337743	66512215	PACS1
chr12	121337921	122362151	RNF34
chr15	63379909	64393026	USP3-AS1
chr9	80350991	81394606	CEP78
chr12	57123494	58128718	SHMT2
chr12	120148250	121203533	PXN
chr14	73025242	74090607	RBM25
chr5	86984133	88064662	TMEM161B
chr4	76149761	77235439	USO1
chr6	17206361	18211258	NUP153-AS1
chr17	36581421	37585637	LINC00672
chr1	5781253	6796024	ICMT
chr3	38037831	39067794	EXOG
chr10	5431535	6479556	FBH1
chr6	130660487	131884385	EPB41L2
chr19	5879583	6893175	GTF2F1
chr12	6513986	7523393	LRRC23
chr9	33679003	34752521	UBAP1
chr2	181345087	182428152	UBE2E3
chr15	75390427	76418802	SNUPN
chr1	26653179	27684095	ZDHHC18
chr10	76371414	77441881	SAMD8
chr7	104154652	105255466	KMT2E
chr16	2063727	3070219	ATP6V0C
chr20	61326781	62347483	YTHDF1
chr22	29376207	30387379	NEFH
chr2	112156184	113287138	MERTK
chr13	52486741	53524769	VPS36
chr1	152830330	153833499	S100A9
chr2	86168494	87219839	KDM3A
chr7	2171620	3204436	TTYH3
chr19	49584573	50594261	PRRG2
chr20	62211435	63231996	OPRL1
chr16	88244096	89252915	SNAI3
chr1	212529946	213531480	FLVCR1-DT
chr4	55794070	56913076	CLOCK
chr8	144298519	145304628	MAPK15
chr10	128093997	129750780	DOCK1
chr1	246387711	247431439	SCCPDH
chr20	25104681	26158710	ZNF337-AS1
chr12	69364168	70473573	FRS2
chr3	169305372	170399521	PHC3
chr2	31890933	32949448	SLC30A6
chr2	64573264	65590765	LINC01800
chr1	5807413	6821158	GPR153
chr1	32783043	33824480	S100PBP
chr16	10939316	11945617	RMI2
chr9	115483824	116526772	SLC31A1
chr1	62420397	63654057	DOCK7
chr3	61804697	62821888	C3orf14
chr1	160695850	161700536	TOMM40L
chr2	72981818	74011606	FBXO41
chr10	134622418	135626665	ZNF511
chr9	139948896	140973377	DPH7
chr3	42195189	43209072	ZBTB47
chr19	55351244	56359489	KMT5C
chr9	96865415	97902545	FBP1
chr7	149078449	150520634	ACTR3C
chr1	32326871	33328086	FAM229A
chr11	0	736931	SIRT3
chr22	19270746	20342397	GNB1L
chr11	111250265	112256699	C11orf1
chr19	7099050	8126653	PNPLA6
chr12	123399586	124421231	RILPL2
chr18	47293255	48308137	MBD1
chr1	20632785	22003390	EIF4G3
chr2	20383791	21522861	LDAH
chr17	17491262	18511283	DRG2
chr19	13572342	14617132	RFX1
chr1	209501317	210530910	UTP25
chr1	834910	1837426	MRPL20-AS1
chr12	56131591	57152168	ANKRD52
chr12	54124726	55173906	CBX5
chr19	12257326	13277556	MAN2B1
chr22	41954338	42966846	NAGA
chr11	17800217	18843721	HPS5
chr6	169602222	170606456	C6orf120
chr1	63406441	64488896	ITGB3BP
chr6	3521534	4565217	PRPF4B
chr2	70023108	71029199	FAM136A
chr6	160911350	161913374	MAP3K4-AS1
chr4	48387036	49408845	OCIAD2
chr11	111455524	112457480	TIMM8B
chr11	106697086	107828551	CWF19L2
chr1	154778657	155790456	FDPS
chr8	132416340	133525889	EFR3A
chr2	232073235	233078261	PTMA
chr1	113966623	114972147	HIPK1-AS1
chr6	20034688	21732635	CDKAL1
chr16	89210843	90224116	CHMP1A
chr7	105794806	106801604	CCDC71L
chr9	26447108	27566132	IFT74
chr1	15562753	16567887	SLC25A34
chr2	74141304	75148746	C2orf81
chr2	112025217	113141770	ANAPC1
chr6	107688960	108779412	SEC63
chr2	3079403	4105923	RNASEH1
chr18	43063502	44152226	PSTPIP2
chr21	36906839	37932824	SETD4
chr10	101409851	102445786	ERLIN1
chr7	34468493	35577653	DPY19L1
chr7	150255287	151273614	SLC4A2
chr5	77156441	78276562	SCAMP1
chr2	98725052	99734978	UNC50
chr8	95335515	96393974	INTS8
chr12	4258280	5303483	NDUFA9
chr9	32765047	33782068	CHMP5
chr10	102247300	103254160	TWNK
chr7	99498495	100526326	ZCWPW1
chr10	111256131	112395323	ADD3
chr7	42471975	43477456	MRPL32
chr22	23813559	24822695	DDT
chr12	30281922	31348803	IPO8
chr7	138978041	140220093	TBXAS1
chr12	87942793	89035865	CEP290
chr11	16298844	17535961	PLEKHA7
chr2	43896014	44961785	PPM1B
chr10	585092	1602644	IDI1
chr5	175375386	176437075	FAF2
chr3	106459539	107545811	DUBR
chr9	95209805	96298515	FGD3
chr3	188814535	190115065	TP63
chr12	111390018	112537477	ATXN2
chr5	55253622	56277596	LINC01948
chr19	18510323	19530196	COPE
chr22	37953262	38971708	PICK1
chr12	3930379	4969194	TIGAR
chr2	97249320	98260619	FAHD2B
chr3	8522275	9791330	SRGAP3
chr7	26206687	27404209	SKAP2
chr12	53345886	54374946	PCBP2
chr21	29949435	31048208	MAP3K7CL
chr13	24053941	25381207	SPATA13
chr6	116096021	117101093	TSPYL1
chr6	42347354	43357638	RPL7L1
chr3	47973583	48981529	CCDC51
chr1	38009501	39012465	POU3F1
chr10	73533682	74535794	DDIT4
chr17	44168035	45334830	NSF
chr19	44169253	45181838	ZNF226
chr19	11116744	12139949	ECSIT
chr9	125170335	126175602	ZBTB6
chr14	35247764	36286699	PSMA6
chr8	123832090	124908687	ATAD2
chr2	219542997	220550197	RETREG2
chr3	49446306	50467244	MON1A
chr9	135320918	136367074	GFI1B
chr15	90973198	91975799	HDDC3
chr5	6133553	7174499	SRD5A1
chr7	16838276	17885771	AHR
chr20	43970360	44986031	ACOT8
chr2	232915399	233948354	EIF4E2
chr16	24050887	25084184	RBBP6
chr12	10271522	11326651	STYK1
chr10	118140988	119386097	SHTN1
chr6	7226332	8381961	BMP6
chr2	42957990	44323177	THADA
chr5	178720987	179723648	LTC4S
chr10	69980996	71052134	CCAR1
chr16	4346969	5352634	ROGDI
chr19	54204726	55211515	RPS9
chr2	26801483	27809271	EMILIN1
chr12	31324071	32382108	AMN1
chr4	74810853	75820722	AREG
chr8	102764501	103924928	UBR5
chr3	48959766	49966757	NICN1
chr2	43501178	44555486	DYNC2LI1
chr12	120134502	121138914	RPLP0
chr12	103666088	104735012	NT5DC3
chr8	123584947	124677413	TBC1D31
chr19	36105869	37116843	TBCB
chr18	43413981	44543103	RNF165
chr1	9212668	10214644	PIK3CD-AS1
chr12	123368679	124393900	KMT5A
chr7	134546547	135694850	CNOT4
chr19	20973962	22012212	ZNF708
chr1	242787730	243918583	CEP170
chr4	1543722	2545691	C4orf48
chr11	77089766	78205714	INTS4
chr21	33446031	34457833	TCP10L
chr11	13979058	15021357	COPB1
chr5	59953531	60958295	SMIM15
chr17	35469787	36503475	DDX52
chr19	21079935	22110379	ZNF493
chr2	9114680	10129871	IAH1
chr8	56930877	57972382	LINC00968
chr2	225764426	227068370	NYAP2
chr19	43650247	44674321	PLAUR
chr11	66556774	67569955	ANKRD13D
chr1	50934378	51940306	CDKN2C
chr4	87581255	88641770	KLHL8
chr19	117221	1133537	POLRMT
chr12	105001509	106062908	WASHC4
chr14	72893172	73928806	DCAF4
chr13	95825089	96829179	DNAJC3-DT
chr20	48626920	49701778	PTPN1
chr2	69689395	70814147	PCBP1-AS1
